Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 3Years
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4627.30,105.56,27508.15,0.06,85.32,179.92,819.69,172.13,37.48,107.70,102.07,96.42,202606.00,45.87,14.98,57.58,36.07
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1167.05,45.59,74665.75,1.81,503.70,27.16,766.87,26.42,43.80,23.01,21.24,26.51,202606.00,25.66,7.88,27.34,40.12
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,8186.50,43.08,123363.69,0.57,796.66,32.46,8209.73,39.01,33.21,32.06,29.24,32.46,202606.00,190.23,52.07,27.28,31.37
Prec. Wires (I),523539,PRECWIRE,INE372C01037,Industrial Products,"Aluminium, Copper & Zinc Products",440.70,46.10,8056.48,0.27,46.45,71.47,1779.24,59.49,32.94,46.02,84.03,67.15,202606.00,9.58,2.54,36.98,28.35
Railtel Corpn.,543265,RAILTEL,INE0DD101019,Telecom - Services,Other Telecom Services,254.20,22.06,8158.31,1.24,65.78,11.62,893.27,20.09,22.85,20.85,16.17,19.46,202606.00,10.78,2.05,24.24,21.65
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1834.20,105.44,30361.94,0.08,84.78,95.80,534.34,51.59,28.35,46.65,89.49,59.01,202606.00,17.68,5.13,34.77,24.45
Saint-Gob. Sekur,515043,SEKURITIND,INE068B01017,Auto Components,Auto Components & Equipments,107.05,21.98,975.31,2.33,9.34,-12.79,60.78,10.81,23.96,16.68,13.72,17.39,202606.00,4.88,1.03,19.55,21.45
Sambhv Steel,544430,SAMBHV,INE12NJ01018,Industrial Products,Iron & Steel Products,129.25,22.87,3808.59,0.00,56.61,69.49,732.17,31.07,19.07,48.73,149.65,64.70,202606.00,5.65,1.92,-45.56,18.40
Sarda Energy,504614,SARDAEN,INE385C01021,Ferrous Metals,Iron & Steel,502.75,15.83,17716.01,0.38,478.13,5.50,1608.04,-1.54,16.87,5.90,19.96,14.41,202606.00,32.06,13.00,19.76,15.81
SBI Funds Mgt.,544829,SBIFUNDS,INE640G01020,Capital Markets,Asset Management Company,533.60,35.10,108685.18,0.00,880.26,3.70,1152.73,15.16,56.50,17.27,20.76,18.66,202603.00,15.06,4.32,31.33,49.46
SEAMEC Ltd,526807,SEAMECLTD,INE497B01018,Transport Services,Shipping,1733.85,17.21,4408.27,0.11,81.34,7.19,296.92,40.77,19.70,60.32,122.39,79.46,202606.00,101.02,31.94,104.66,13.59
Sharda Cropchem,538666,SHARDACROP,INE221J01015,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,753.15,10.85,6794.92,1.96,88.02,-38.34,1073.77,9.03,30.25,18.52,49.11,44.85,202606.00,69.40,9.76,25.64,17.01
Sika Interplant,523606,SIKA,INE438E01032,Aerospace & Defense,Aerospace & Defense,1028.50,62.85,2180.54,0.32,8.40,-18.84,42.86,-36.98,34.56,0.45,9.68,16.61,202606.00,16.35,3.96,60.21,29.77
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,421.20,8.19,966.40,0.00,19.71,54.59,196.26,37.82,37.14,75.33,86.75,102.18,202606.00,51.42,8.59,63.20,32.80
Star Cement,540575,STARCEMENT,INE460H01021,Cement & Cement Products,Cement & Cement Products,186.05,19.89,7519.77,1.04,73.91,-24.10,942.89,3.39,16.65,14.53,59.87,30.62,202606.00,9.15,1.85,17.42,13.84
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,881.30,35.72,7093.00,0.11,24.04,-30.90,189.75,30.80,25.17,28.14,11.58,15.94,202606.00,24.65,2.99,32.49,24.93
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,661.00,39.36,8449.65,1.97,43.70,-4.67,106.51,20.94,118.47,21.28,27.11,30.63,202606.00,16.79,3.42,39.31,110.37
Uno Minda,532539,UNOMINDA,INE405E01023,Auto Components,Auto Components & Equipments,1172.25,55.36,67693.58,0.22,315.51,1.76,5556.85,23.79,19.65,18.80,18.84,13.47,202606.00,20.83,5.12,22.91,19.47
Vijaya Diagnost.,543350,VIJAYA,INE043W01024,Healthcare Services,Healthcare Service Provider,1449.15,79.59,14925.95,0.13,53.10,37.60,230.98,22.83,20.53,20.18,23.76,26.77,202606.00,18.24,5.16,23.93,20.31
Vikram Solar,544488,VIKRAMSOLR,INE078V01014,Electrical Equipment,Other Electrical Equipment,163.95,16.47,5940.78,0.00,19.78,-85.17,1563.09,37.89,30.56,33.26,44.08,28.53,202606.00,9.85,0.55,180.52,26.35
Vinati Organics,524200,VINATIORGA,INE410B01037,Chemicals & Petrochemicals,Specialty Chemicals,1271.55,26.44,13181.60,0.66,123.56,9.56,697.75,28.67,21.36,5.21,12.79,12.41,202606.00,48.09,11.92,4.88,20.17
Welspun Corp,532144,WELCORP,INE191B01025,Industrial Products,Iron & Steel Products,2445.10,27.95,64499.50,0.19,1047.88,198.64,4081.12,14.91,22.89,20.21,41.66,32.09,202606.00,87.55,39.67,117.98,21.44
